Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50Kb	associated_gene-4DGenome	Cell/Tissue	Detection_method	PMID	closest_gene	distance
1	chr1	100047168	100048648	100047780	N	NA	NA	NA	NA	NA	NA	AGL	266992
2	chr1	100259068	100263006	100259789	N	NA	NA	NA	NA	NA	NA	AGL	52634
3	chr1	100287109	100290079	100289189	N	NA	AGL	EXTL2,SLC35A3,CDC14A	IMR90	Hi-C	24141950	AGL	25561
4	chr1	100297972	100303384	100298834,100302036	N,N	NA;NA	AGL	CDC14A,AGL	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	AGL	12256
5	chr1	100308168	100311241	100310405	N	NA	AGL	FRRS1,AGL,SLC35A3,EXTL2,HIAT1	IMR90	Hi-C	24141950	AGL	4399
6	chr1	100804375	100807372	100804938	N	NA	CDC14A	SLC35A3,CDC14A,EXTL2,SLC30A7	IMR90	Hi-C	24141950	CDC14A	10651
7	chr1	101285350	101291881	101285970	N	NA	NA	CDC14A,LOC100128787,EXTL2,VCAM1	IMR90	Hi-C	24141950	EXTL2	68537
8	chr1	101601778	101603868	101603009	N	NA	NA	NA	NA	NA	NA	DPH5	110416
9	chr1	101773847	101776894	101775303	Y	S1PR1	NA	NA	NA	NA	NA	DPH5	282485
10	chr1	102062676	102069496	102062964,102066935	N,N	NA;NA	NA	NA	NA	NA	NA	DPH5	571314
11	chr1	102118169	102121384	102119510	N	NA	NA	NA	NA	NA	NA	DPH5	626807
12	chr1	102571544	102574846	102573278	Y	NA	NA	NA	NA	NA	NA	DPH5	1080182
13	chr1	102590302	102591772	102590918	N	NA	NA	NA	NA	NA	NA	DPH5	1098940
14	chr1	102891762	102892901	102891995	N	NA	NA	NA	NA	NA	NA	RNPC3	1175677
15	chr1	103124508	103127178	103125045	N	NA	NA	NA	NA	NA	NA	RNPC3	941400
16	chr1	103271737	103274004	103272270	N	NA	NA	NA	NA	NA	NA	RNPC3	794574
17	chr1	103715245	103718076	103716276	N	NA	NA	NA	NA	NA	NA	RNPC3	350502
18	chr1	103729713	103730755	103729863	N	NA	NA	NA	NA	NA	NA	RNPC3	337823
19	chr1	104249468	104250954	104250310	N	NA	NA	NA	NA	NA	NA	LOC648740	137442
20	chr1	104587115	104588352	104587747	N	NA	NA	NA	NA	NA	NA	LOC648740	475089
21	chr1	104598834	104601745	104600107	N	NA	NA	NA	NA	NA	NA	LOC648740	486808
22	chr1	104676303	104678829	104678003	N	NA	NA	NA	NA	NA	NA	LOC648740	564277
23	chr1	104696311	104697030	104696573	N	NA	NA	NA	NA	NA	NA	LOC648740	584285
24	chr1	104753008	104754511	104753717	N	NA	NA	NA	NA	NA	NA	LOC648740	640982
25	chr1	104804736	104806934	104805935	N	NA	NA	NA	NA	NA	NA	LOC648740	692710
26	chr1	104879010	104881422	104880542	N	NA	NA	NA	NA	NA	NA	LOC648740	766984
27	chr1	104923457	104924798	104924417	N	NA	NA	NA	NA	NA	NA	LOC648740	811431
28	chr1	105142983	105145501	105145244	N	NA	NA	NA	NA	NA	NA	LOC648740	1030957
29	chr1	105206304	105207923	105207230	N	NA	NA	NA	NA	NA	NA	LOC648740	1094278
30	chr1	105217639	105218517	105218078	N	NA	NA	NA	NA	NA	NA	LOC648740	1105613
31	chr1	105482265	105484302	105483725	N	NA	NA	NA	NA	NA	NA	LOC648740	1370239
32	chr1	105489803	105491852	105490779	N	NA	NA	NA	NA	NA	NA	LOC648740	1377777
33	chr1	105709796	105711670	105710428	N	NA	NA	NA	NA	NA	NA	LOC648740	1597770
34	chr1	105720678	105722646	105721761	N	NA	NA	NA	NA	NA	NA	LOC648740	1608652
35	chr1	106012289	106013963	106013100	N	NA	NA	NA	NA	NA	NA	PRMT6	1585304
36	chr1	106172768	106174250	106173094	N	NA	NA	NA	NA	NA	NA	PRMT6	1425017
37	chr1	106289589	106291101	106290081	N	NA	NA	NA	NA	NA	NA	PRMT6	1308166
38	chr1	106702319	106704758	106703519	N	NA	NA	NA	NA	NA	NA	PRMT6	894509
39	chr1	106853701	106857103	106854466	N	NA	NA	NA	NA	NA	NA	PRMT6	742164
40	chr1	106875643	106878168	106877423	N	NA	NA	NA	NA	NA	NA	PRMT6	721099
41	chr1	106954415	106956036	106955281	N	NA	NA	NA	NA	NA	NA	PRMT6	643231
42	chr1	107065260	107068136	107067038	N	NA	NA	NA	NA	NA	NA	PRMT6	531131
43	chr1	108592774	108595548	108594061	Y	VAV3	NA	NA	NA	NA	NA	SLC25A24	147426
44	chr1	108599667	108601552	108600370	Y	VAV3	NA	NA	NA	NA	NA	SLC25A24	141422
45	chr1	10873513	10876800	10875315	N	NA	CASZ1	PEX14,CASZ1	IMR90	Hi-C	24141950	CASZ1	16806
