genes	chr	pos1	pos2	label	H1_rep1	H1_rep2	H1_rep3	H1_rep4	DEC_rep1	DEC_rep2	mean_H1	mean_DEC
A2ML1	chr12	8830000	8835000	5	199.14344128987247	192.1138654840278	175.80232485579458	190.0579075409656	206.7607680746238	241.01693405808183	189.2793847926651	223.8888510663528
A2ML1-AS1	chr12	8830000	8835000	5	NA	NA	NA	NA	NA	NA	NA	NA
ABCC1	chr16	16045000	16050000	5	1367.627474288727	1389.4432383950461	1364.5609024521198	1351.8404551410035	940.5682603768518	923.9923209674004	1368.368017569224	932.2802906721261
ABLIM1	chr10	114545000	114550000	5	1430.93134966564	1523.3817784156006	1416.1853946716785	1509.0312057387946	752.6478426641679	466.22947899760095	1469.8824321229285	609.4386608308844
ABLIM2	chr4	8145000	8150000	5	15.825968844228276	18.940803639270346	18.13833510416928	11.432054588930262	14.975663108208733	6.773309622241175	16.08429054414954	10.874486365224953
AC002546.1	chr17	69500000	69505000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC004466.1	chr12	47780000	47785000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC004593.3	chr7	29335000	29340000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC004702.1	chr17	20190000	20195000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC005726.1	chr17	28490000	28495000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC005753.2	chr5	141750000	141755000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC005753.2	chr5	141760000	141765000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC005865.2	chr12	3355000	3360000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC006517.1	chr12	7860000	7865000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC007269.1	chr7	159105000	159110000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC007435.1	chr2	175030000	175035000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC007686.3	chr14	77030000	77035000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC007686.4	chr14	76960000	76965000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC007848.1	chr12	5405000	5410000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC007998.4	chr18	35405000	35410000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC008014.1	chr12	46380000	46385000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC008063.2	chr2	162090000	162095000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC008115.4	chr12	12645000	12650000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC008438.2	chr5	140355000	140360000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC008663.2	chr5	173575000	173580000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC008663.3	chr5	173575000	173580000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC008674.1	chr5	173760000	173765000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC009226.1	chr2	207475000	207480000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC010136.1	chr2	217980000	217985000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC010145.1	chr2	16005000	16010000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC010519.1	chr19	47665000	47670000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC010894.3	chr2	174770000	174775000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC011487.2	chr19	53595000	53600000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC011676.3	chr8	141285000	141290000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC012076.1	chr2	237730000	237735000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC012076.1	chr2	237725000	237730000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC012354.1	chr2	44955000	44960000	5	NA	NA	NA	NA	NA	NA	NA	NA
