type	chr	pos1	pos2	top_region	label
endo	chr10	5623037	5623237	0.8697718906057129	nmf4
endo	chr10	104046042	104046242	0.8697718906057129	nmf4
endo	chr12	3996234	3996634	0.8697718906057129	nmf4
endo	chr12	4115434	4118034	0.8697718906057129	nmf4
endo	chr13	100511546	100511946	0.8697718906057129	nmf4
endo	chr13	113000886	113001086	0.8697718906057129	nmf4
endo	chr13	113002486	113002686	0.8697718906057129	nmf4
endo	chr14	57060282	57060882	0.8697718906057129	nmf4
endo	chr14	65225882	65226882	0.8697718906057129	nmf4
endo	chr15	29140597	29141197	0.8697718906057129	nmf4
endo	chr15	78312458	78312658	0.8697718906057129	nmf4
endo	chr16	51545489	51546289	0.8697718906057129	nmf4
endo	chr16	57410088	57410488	0.8697718906057129	nmf4
endo	chr17	10756683	10758283	0.8697718906057129	nmf4
endo	chr17	75323319	75323519	0.8697718906057129	nmf4
endo	chr18	3592802	3593002	0.8697718906057129	nmf4
endo	chr1	43230329	43230729	0.8697718906057129	nmf4
endo	chr1	156062409	156062809	0.8697718906057129	nmf4
endo	chr1	156063209	156064209	0.8697718906057129	nmf4
endo	chr1	177182464	177182664	0.8697718906057129	nmf4
endo	chr1	235084285	235084485	0.8697718906057129	nmf4
endo	chr20	3676553	3676753	0.8697718906057129	nmf4
endo	chr20	46561961	46562161	0.8697718906057129	nmf4
endo	chr20	62063144	62063344	0.8697718906057129	nmf4
endo	chr21	39137274	39138074	0.8697718906057129	nmf4
endo	chr2	42977660	42978260	0.8697718906057129	nmf4
endo	chr2	85285277	85285877	0.8697718906057129	nmf4
endo	chr2	96142661	96142861	0.8697718906057129	nmf4
endo	chr3	66401376	66402376	0.8697718906057129	nmf4
endo	chr3	120416753	120416953	0.8697718906057129	nmf4
endo	chr3	120418953	120419553	0.8697718906057129	nmf4
endo	chr3	122943553	122943753	0.8697718906057129	nmf4
endo	chr3	134473758	134474158	0.8697718906057129	nmf4
endo	chr4	140251046	140251646	0.8697718906057129	nmf4
endo	chr4	140253846	140254246	0.8697718906057129	nmf4
endo	chr5	1106485	1106685	0.8697718906057129	nmf4
endo	chr5	1108085	1109685	0.8697718906057129	nmf4
endo	chr5	9832488	9833488	0.8697718906057129	nmf4
endo	chr5	154072640	154073040	0.8697718906057129	nmf4
endo	chr5	173970797	173970997	0.8697718906057129	nmf4
endo	chr5	173971397	173972597	0.8697718906057129	nmf4
endo	chr5	173974197	173974397	0.8697718906057129	nmf4
endo	chr6	26341372	26341772	0.8697718906057129	nmf4
endo	chr6	37050624	37051024	0.8697718906057129	nmf4
endo	chr7	2243365	2243765	0.8697718906057129	nmf4
endo	chr7	131626841	131627041	0.8697718906057129	nmf4
endo	chr8	9337890	9338290	0.8697718906057129	nmf4
endo	chr8	125641956	125642756	0.8697718906057129	nmf4
endo	chr8	140638101	140638301	0.8697718906057129	nmf4
