region	EnhA1	EnhA2	EnhBiv	EnhG1	EnhG2	EnhWk	Het	Quies	ReprPC	ReprPCWk	TssA	TssBiv	TssFlnkD	TssFlnk	TssFlnkU	Tx	TxWk	ZNF-Rpts
chr10_endo:510000-515000	0.01357866557	0	0.01357866557	0	0	0.02715733115	0	0.01357866557	0.01357866557	0.01357866557	0	0.01357866557	0	0	0.01357866557	0	0	0
chr10_endo:785000-790000	0	0.01357866557	0.01357866557	0	0	0.01357866557	0	0	0.01357866557	0	0	0	0	0	0	0	0.01357866557	0
chr10_endo:2925000-2930000	0	0	0	0	0	0.02273022217	0	0.02273022217	0	0	0	0	0	0	0	0	0.02273022217	0
chr10_endo:3040000-3045000	0.02273022217	0.02273022217	0	0	0	0.02273022217	0	0.02273022217	0	0	0	0	0	0	0	0	0	0
chr10_endo:3240000-3245000	0	0	0	0	0	0.01110204727	0	0.02220409454	0	0	0	0	0	0	0	0	0	0
chr10_endo:3655000-3660000	0	0.01110204727	0	0	0	0	0	0.01110204727	0	0	0	0	0	0	0	0	0	0
chr10_endo:5445000-5450000	0	0	0	0	0	0.02301681843	0	0.04603363686	0	0	0	0	0	0	0	0	0	0
chr10_endo:5620000-5625000	0	0.02301681843	0	0	0	0	0	0.02301681843	0	0	0.06905045529	0	0	0.06905045529	0	0	0.02301681843	0
chr10_endo:6200000-6205000	0.01716425545	0	0	0	0	0.01716425545	0	0.0343285109	0	0	0	0	0	0.01716425545	0.01716425545	0	0	0
chr10_endo:6230000-6235000	0.0106097162	0	0	0	0	0.0106097162	0	0.02121943241	0	0	0	0	0	0.0106097162	0.0106097162	0	0	0
chr10_endo:6400000-6405000	0	0	0.01716425545	0	0	0	0	0	0.01716425545	0	0.01716425545	0.01716425545	0	0	0.01716425545	0.0106097162	0.0106097162	0
chr10_endo:7525000-7530000	0	0	0	0	0	0	0.0284483507	0.0284483507	0	0	0	0	0	0	0	0	0	0
chr10_endo:7685000-7690000	0	0	0	0	0	0	0	0.0284483507	0	0	0	0	0	0	0	0	0	0
