Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50Kb	associated_gene-4DGenome	Cell/Tissue	Detection_method	PMID	closest_gene	distance
1	chr1	113366161	113368563	113367773	N	NA	NA	RHOC,PPM1J,FAM19A3,LRIG2	IMR90	Hi-C	24141950	RHOC	116136
2	chr1	114574641	114582367	114576313	N	NA	NA	SYT6,OLFML3	IMR90	Hi-C	24141950	OLFML3	52611
3	chr1	143671861	143674777	143673452	N	NA	NA	NA	NA	NA	NA	LOC100286793	69810
4	chr1	144532708	144535224	144533829	Y	PDE4DIP	NA	PDE4DIP,SEC22B,NOTCH2NL,HIST2H2AB,HIST2H2AC,HIST2H2BE,LOC728875	K562,IMR90	ChIA-PET,Hi-C	22265404,24141950	NBPF9	79735
5	chr1	145091299	145093454	145092671	Y	SEC22B,PDE4DIP	SEC22B	NBPF9,LOC653513,PDE4DIP,NOTCH2NL,SEC22B,LOC728875,NBPF10	IMR90	Hi-C	24141950	SEC22B	2953
6	chr1	147775037	147776471	147775682	N	NA	NA	NA	NA	NA	NA	FLJ39739	155509
7	chr1	147858703	147862551	147860968	N	NA	NA	NA	NA	NA	NA	FLJ39739	69429
8	chr1	149214430	149216240	149215630	Y	NA	NA	NA	NA	NA	NA	LOC388692	63236
9	chr1	149513024	149515617	149514438	N	NA	NA	NA	NA	NA	NA	FAM91A2	60645
10	chr1	156074966	156077602	156076442	N	NA	RAB25,MEX3A,LMNA,SEMA4A	MEX3A,LMNA	MCF7,IMR90	ChIA-PET,Hi-C	22265404,24141950	LMNA	6859
11	chr1	16839016	16843102	16840968	N	NA	CROCCP3	NECAP2,SPATA21,CROCCP3,NBPF1,CROCC,CROCCP2,MST1P2,MIR3675,ESPNP,ARHGEF19,C1orf144,FBXO42	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	CROCCP3	19820
12	chr1	16846717	16848705	16847188	N	NA	CROCCP3	CROCC,CROCCP3,NBPF1,ESPNP	IMR90	Hi-C	24141950	CROCCP3	27521
13	chr1	17220734	17224277	17222276	N	NA	CROCC	CROCC,NECAP2,CROCCP3,SPATA21,NBPF1,CROCCP2,MST1P2,ESPNP,MIR3675,ATP13A2,SDHB,PADI2,MFAP2	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	CROCC	24168
14	chr1	17230156	17232644	17231491	Y	PADI4,PADI2	CROCC	CROCC,NECAP2,CROCCP3,SPATA21,NBPF1,CROCCP2,MST1P2,ESPNP,MIR3675,ATP13A2,SDHB,PADI2,MFAP2	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	CROCC	15801
15	chr1	204475908	204476766	204476313	N	NA	PIK3C2B,MDM4	PPP1R15B,MDM4,PIK3C2B	MCF7,K562	ChIA-PET	22265404	MDM4	8741
16	chr1	222144492	222149724	222146147	N	NA	NA	DUSP10	IMR90	Hi-C	24141950	TAF1A	613551
17	chr1	224179491	224182424	224180373	Y	NA	NA	NA	NA	NA	NA	FBXO28	119367
18	chr1	232257260	232286853	232258794	N	NA	NA	SIPA1L2,TSNAX-DISC1,PCNXL2	IMR90	Hi-C	24141950	KIAA1383	653785
